n_top_genes,n_qubits,n_layers,learning_rate,dropout,batch_size,max_epochs,patience,entropy_lambda,imbalance_strategy,hidden_dim,head_dim,temperature,weight_decay,mean_train_auc,mean_val_auc,mean_val_balanced_accuracy,mean_val_f1,mean_val_specificity,mean_val_brier,mean_overfit_gap_auc,mean_best_epoch,mean_best_threshold
50,6,2,0.001,0.1,32,60,10,0.02,class_weight,64,32,0.35,0.0,0.8176418029090875,0.6925324675324676,0.6763296227581941,0.7363736677619129,0.6893939393939394,0.23214703798294067,0.12510933537661995,18.4,0.502
50,4,1,0.001,0.2,32,45,8,0.05,smote,32,16,0.5,0.0001,0.7625496864526146,0.6866777983920841,0.6183413729128014,0.7641535947712418,0.509090909090909,0.265716215968132,0.07587188806053047,3.2,0.47400000000000003
50,4,2,0.001,0.2,32,45,8,0.05,smote,32,16,0.5,0.0001,0.8066195663795387,0.6826450216450216,0.6458831168831167,0.7946628182789907,0.5409090909090909,0.24615705907344818,0.12397454473451708,10.2,0.488
50,6,2,0.0005,0.1,32,80,12,0.0,class_weight,64,32,0.35,0.0,0.789162249731544,0.6589115646258504,0.634639455782313,0.6798742116389176,0.6666666666666666,0.22192035019397735,0.1302506851056936,17.0,0.484
50,4,2,0.001,0.1,32,60,10,0.0,smote,64,32,0.5,0.0,0.8355471599440311,0.6587043908472479,0.6464100185528757,0.6687498954896686,0.7136363636363636,0.23382384777069093,0.1768427690967832,7.0,0.48200000000000004
50,6,2,0.001,0.1,32,60,10,0.0,smote,64,32,0.5,0.0,0.8570966116428582,0.6491168831168831,0.6186301793444651,0.5157474959328021,0.7984848484848486,0.23073749244213104,0.20797972852597513,9.4,0.5359999999999999
50,6,2,0.001,0.2,32,45,8,0.05,class_weight,32,16,0.5,0.0001,0.8483037969681897,0.6263283858998145,0.6385720470006183,0.714355462725087,0.6378787878787879,0.21780571043491365,0.22197541106837515,19.2,0.5159999999999999
50,6,3,0.001,0.1,32,70,12,0.02,smote,64,32,0.35,0.0,0.8394546553303055,0.6020674087816944,0.6147272727272728,0.6540282980095625,0.6454545454545455,0.2492560088634491,0.2373872465486111,6.2,0.504
